Question,Answer
What controversial political stance did Neymar take in the 2022 Brazilian general election?,Neymar supported Brazilian President Jair Bolsonaro in the 2022 Brazilian general election.
Which sportswear company did Neymar sign with in 2011 before switching to Puma?,Neymar signed with American sportswear company Nike in 2011 before switching to Puma.
Which magazine named Neymar as the most marketable athlete in the world in May 2013?,SportsPro magazine named Neymar as the most marketable athlete in the world in May 2013.
In which video game series does Neymar appear as a playable character?,Neymar appears as a playable character in the FIFA video game series.
In which Netflix documentary series did Neymar feature in 2022?,Neymar featured in the Netflix documentary series 'Neymar: The Perfect Chaos' in 2022.
What is Neymar's position in the list of all-time greats according to Lawrence Ostlere of The Independent?,"According to Lawrence Ostlere of The Independent, Neymar is second only to Messi in the list of all-time greats."
"Which music video did Neymar appear in for the sertanejo hit 'Eu Quero Tchu, Eu Quero Tcha'?","Neymar appeared in the music video for the sertanejo hit 'Eu Quero Tchu, Eu Quero Tcha'."
In which TV series did Neymar make a cameo appearance as 'Encanador'?,Neymar made a cameo appearance as 'Encanador' in the TV series '(fdp)'.
Which full-length film featured Neymar playing himself?,The full-length film 'Os Parças' featured Neymar playing himself.
Which football tournament did Neymar win with Brazil in 2013?,Neymar won the FIFA Confederations Cup with Brazil in 2013.
What is Neymar's nationality?,Neymar is Brazilian.
How many Instagram followers does Neymar have?,Neymar has over 200 million Instagram followers.
"Which magazine featured Neymar on the cover in February 2013, calling him 'The Next Pelé'?","Time magazine featured Neymar on the cover in February 2013, calling him 'The Next Pelé'."
In which year did Neymar win the FIFA Puskás Award for Goal of the Year?,Neymar won the FIFA Puskás Award for Goal of the Year in 2011.
What was the name of the rap music video in which Neymar appeared in 2013?,The rap music video in which Neymar appeared in 2013 is 'País do Futebol' by MC Guimê.
Which TV series featured Neymar in the role of Monje Joao in 2019?,Neymar appeared in the TV series 'Money Heist' in the role of Monje Joao in 2019.
What is the total number of goals Neymar scored for Santos during his career at the club?,Neymar scored a total of 136 goals for Santos during his career at the club.
How many appearances did Neymar make for Barcelona during his career at the club?,Neymar made 186 appearances for Barcelona during his career at the club.
Which club did Neymar join after leaving Barcelona in 2017?,Neymar joined Paris Saint-Germain after leaving Barcelona in 2017.
How many appearances and goals did Neymar make for Paris Saint-Germain during the 2017-2018 season?,"During the 2017-2018 season, Neymar made 30 appearances and scored 28 goals for Paris Saint-Germain."
In which league did Neymar play for Al Hilal in the 2023-2024 season?,Neymar played for Al Hilal in the Saudi Pro League during the 2023-2024 season.
How many appearances and goals did Neymar make for Brazil during the 2022 FIFA World Cup qualification?,"During the 2022 FIFA World Cup qualification, Neymar made 13 appearances and scored 7 goals for Brazil."
What is the total number of international goals scored by Neymar as of October 2023?,"As of October 2023, Neymar has scored a total of 79 international goals."
How many times has Neymar been included in the UEFA Champions League Squad of the Season?,Neymar has been included in the UEFA Champions League Squad of the Season three times.
Which tournament did Neymar win with Brazil in 2016?,Neymar won the Summer Olympics with Brazil in 2016.
What is the highest position Neymar has achieved in the UEFA Team of the Year?,Neymar achieved the highest position of being included in the UEFA Team of the Year twice.
What award did Neymar win in 2014 and 2015 for the Copa del Rey?,Neymar won the Copa del Rey top scorer award in 2014 and 2015.
How many times has Neymar been included in the UNFP Ligue 1 Team of the Year?,Neymar has been included in the UNFP Ligue 1 Team of the Year three times.
Which award did Neymar win in 2021 for his performance in Copa América?,Neymar won the Copa América Team of the Tournament award in 2021.
"What was the name of the campaign launched by FIFA in 2014, in which Neymar participated to raise awareness of Ebola?",Neymar participated in FIFA's '11 against Ebola' campaign in 2014.
What is the title of the documentary series released by DAZN covering Neymar's journey?,The documentary series released by DAZN covering Neymar's journey is titled 'Neymar and the Line of Kings'.
Which social media platform has Neymar over 200 million followers on?,Neymar has over 200 million followers on Instagram.
How many times has Neymar won the Samba Gold award?,Neymar has won the Samba Gold award six times.
What was the title of the Vogue magazine edition featuring Neymar and Gisele Bündchen in June 2014?,The Vogue magazine edition featuring Neymar and Gisele Bündchen in June 2014 was titled 'Brazilian Edition'.
In which year did Neymar appear in the Time 100 list of the most influential people in the world?,Neymar appeared in the Time 100 list of the most influential people in the world in 2017.
Which sportswear company did Neymar sign an 11-year contract with in March 2011?,Neymar signed an 11-year contract with American sportswear company Nike in March 2011.
Who did Neymar sign with after ending his contract with Nike in August 2020?,"After ending his contract with Nike in August 2020, Neymar signed with German sportswear company Puma."
Which magazine rated Neymar as the most marketable athlete in the world in May 2013?,SportsPro magazine rated Neymar as the most marketable athlete in the world in May 2013.
In what month and year was Neymar rated by SportsPro magazine as the most marketable athlete in the world?,Neymar was rated by SportsPro magazine as the most marketable athlete in the world in May 2013.
What was the reported reason for the potential fine faced by Neymar in the summer of 2023?,The reported reason for the potential fine faced by Neymar in the summer of 2023 was environmental violations committed during the construction of his Mangaratiba mansion.
Which video games did Neymar feature on the front covers of?,Neymar featured on the front covers of Pro Evolution Soccer 2012 and Pro Evolution Soccer 2013.
In which year did Neymar appear on the cover of Time magazine?,Neymar appeared on the cover of Time magazine in February 2013.
What was the title of the article written about Neymar in the Time magazine cover issue?,The title of the article written about Neymar in the Time magazine cover issue was 'The Next Pelé: How the career of Brazilian football star Neymar explains his country's economy'.
Who was Neymar's partner on the cover of Vogue's Brazilian edition in June 2014?,Neymar's partner on the cover of Vogue's Brazilian edition in June 2014 was Gisele Bündchen.
What was the title of the campaign launched by FIFA in November 2014 to raise awareness of Ebola?,The campaign launched by FIFA in November 2014 to raise awareness of Ebola was titled '11 against Ebola'.
Which social media platform ranked Neymar as the fourth most famous athlete in the world in 2016?,Neymar was ranked as the fourth most famous athlete in the world on Facebook in 2016.
In which year was Neymar included in the Time 100 list of the most influential people in the world?,Neymar was included in the Time 100 list of the most influential people in the world in 2017.
What is the title of the 2022 Netflix documentary series featuring Neymar?,The title of the 2022 Netflix documentary series featuring Neymar is 'Neymar: The Perfect Chaos'.
Which TV series featured Neymar in the role of 'Encanador' in 2012?,Neymar played the role of 'Encanador' in the TV series 'fdp' in 2012.
Who did Neymar play the role of in the 2017 film 'Os Parças'?,Neymar played the role of himself in the 2017 film 'Os Parças'.
In which year did Neymar win the FIFA Confederations Cup with Brazil?,Neymar won the FIFA Confederations Cup with Brazil in 2013.
How many times has Neymar won the Copa América tournament with Brazil?,Neymar has won the Copa América tournament with Brazil twice.
Which football award did Neymar win in 2013 for his performance at the FIFA Confederations Cup?,Neymar won the FIFA Confederations Cup Golden Ball award in 2013.
What is the name of the documentary series released by DAZN that covers significant games in Neymar's career?,The documentary series released by DAZN that covers significant games in Neymar's career is titled 'The Making Of'.
Which German sportswear company did Neymar sign with after ending his contract with Nike?,Neymar signed with German sportswear company Puma after ending his contract with Nike.
"What was the reported reason for Neymar, Ángel Di María, and Leandro Paredes being quarantined in September 2020?","Neymar, Ángel Di María, and Leandro Paredes were quarantined in September 2020 due to testing positive for COVID-19."
Who did Neymar support in the 2022 Brazilian general election?,Neymar supported Guilherme Boulos in the 2022 Brazilian general election.
What is the title of the campaign launched by FIFA in conjunction with the Confederation of African Football and health experts in 2014?,The campaign launched by FIFA in conjunction with the Confederation of African Football and health experts in 2014 was titled '11 against Ebola'.
Which Brazilian singer did Neymar support by performing live renditions of their hits 'Balada' and 'Fazer Beber'?,Neymar supported sertanejo singer Gusttavo Lima by performing live renditions of his hits 'Balada' and 'Fazer Beber'.
Who is the Brazilian cartoonist who released a Monica's Gang comic book featuring a younger version of Neymar?,The Brazilian cartoonist who released a Monica's Gang comic book featuring a younger version of Neymar is Mauricio de Sousa.
